title,developer,publisher,year,hidden
"3-D WorldRunner
The 3-D Battles of WorldRunner",Square,"Acclaim Entertainment
Square",1987,FALSE
8 Eyes,Thinking Rabbit,"SETA (JP)
Taxan (NA)",1990,FALSE
10-Yard Fight,Tose,"Irem (JP)
Nintendo (NA/PAL)",1985,FALSE
720°,Beam Software,Mindscape,1989,FALSE
1942,Micronics,Capcom,1986,FALSE
"1943: The Battle of Midway
1943: The Battle of Valhalla (JP)",Capcom,Capcom,1988,FALSE
"A Boy and His Blob: Trouble on Blobolonia
Fushigi na Blobby (JP)",Imagineering,"Jaleco (JP)
Absolute Entertainment (NA)
Nintendo (PAL)",1990,FALSE
A Nightmare on Elm Street,Rare,LJN,1990,FALSE
Abadox: The Deadly Inner War,Natsume,"Natsume (JP)
Milton Bradley Company (NA)",1990,FALSE
Advanced Dungeons & Dragons: DragonStrike,Westwood Associates,FCI,1992,FALSE
Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,"Pony Canyon (JP)
FCI (NA)",1991,FALSE
Advanced Dungeons & Dragons: Hillsfar,Crosstalk,"Pony Canyon (JP)
FCI (NA)",1993,FALSE
Advanced Dungeons & Dragons: Pool of Radiance,"Marionette
SRS","Pony Canyon (JP)
FCI (NA)",1992,FALSE
"Adventure Island 3
Takahashi Meijin no Boken Jima III (JP)",Now Production,Hudson Soft,1992,FALSE
"Adventure Island II
Takahashi Meijin no Boken Jima II (JP)
The Adventure Island Part II (PAL)",Now Production,Hudson Soft,1991,FALSE
Adventures in the Magic Kingdom,Capcom,Capcom,1990,FALSE
"Adventures of Dino Riki
Shinjinrui (JP)",Hudson Soft,"Rix Soft (JP)
Hudson Soft (NA)",1989,FALSE
Adventures of Lolo,HAL Laboratory,HAL Laboratory,1989,FALSE
"Adventures of Lolo 2
Adventures of Lolo (JP)",HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1990,FALSE
"Adventures of Lolo 3
Adventures of Lolo 2 (JP)",HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1991,FALSE
"Adventures of Tom Sawyer
Tom Sawyer no Bōken (JP)",Winkysoft,SETA,1989,FALSE
Air Fortress,HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1989,FALSE
Airwolf,Beam Software,Acclaim Entertainment,1989,FALSE
"Al Unser Jr.'s Turbo Racing
World Grand-Prix - Pole To Finish (JP)
Turbo Racing (PAL)",Data East,Data East,1990,FALSE
"Alex Demeo's Race America
Corvette ZR-1 Challenge (PAL)",Imagineering,"Absolute Entertainment (NA)
Milton Bradley Company (PAL)",1992,FALSE
Alfred Chicken,Twilight,Mindscape,1994,FALSE
Alien 3,Probe Software,LJN,1993,FALSE
"All-Pro Basketball
Zenbei!! Pro Basketball (JP)",Aicom,Vic Tokai,1989,FALSE
"Alpha Mission
ASO: Armored Scrum Object (JP)",SNK,SNK,1987,FALSE
"Amagon
Totsuzen! Macho Man (JP)",Aicom,"Vic Tokai (JP)
American Sammy (NA)",1989,FALSE
American Gladiators,Incredible Technologies,GameTek,1991,FALSE
Anticipation,Rare,Nintendo,1988,FALSE
Arch Rivals,Rare,Acclaim Entertainment,1990,FALSE
Archon,Bullet-Proof Software,Activision,1989,FALSE
Arkanoid,Taito,Taito,1987,FALSE
Arkista's Ring,NMK,American Sammy,1990,FALSE
"Astyanax
Lord of King (JP)",Aicom,Jaleco,1990,FALSE
Athena,Micronics,SNK,1987,FALSE
"Athletic World
Family Trainer: Athletic World (JP)",Human Entertainment,"Bandai (JP/NA)
Nintendo (PAL)",1987,FALSE
Attack of the Killer Tomatoes,Imagineering,THQ,1992,FALSE
Back to the Future,Beam Software,LJN,1989,FALSE
Back to the Future Part II & III,Beam Software,LJN,1990,FALSE
"Bad Dudes
Dragon Ninja (JP)
Bad Dudes vs. DragonNinja (PAL)",Data East,"Namco (JP)
Data East (NA)
Ocean Software (PAL)",1989,FALSE
"Bad News Baseball
Gekitou!! Stadium (JP)",Tecmo,Tecmo,1990,FALSE
Bad Street Brawler,Beam Software,Mattel,1989,FALSE
Balloon Fight,"Nintendo R&D1
HAL Laboratory",Nintendo,1986,FALSE
Bandai Golf: Challenge Pebble Beach,Tose,Bandai,1989,FALSE
"Bandit Kings of Ancient China
Suikoden: Tenmei no Chikai (JP)",Koei,Koei,1990,FALSE
Barbie,Imagineering,Hi Tech Expressions,1991,FALSE
Bard's Tale: Tales of the Unknown,Atelier Double,"Pony Canyon (JP)
FCIUS",1991,FALSE
Barker Bill's Trick Shooting,Nintendo R&D1,Nintendo,1990,FALSE
Base Wars,Konami,Ultra Games,1991,FALSE
Baseball,Nintendo R&D1,Nintendo,1985,FALSE
"Baseball Simulator 1.000
Choujin Ultra Baseball (JP)",Culture Brain,Culture Brain,1990,FALSE
"Baseball Stars
Baseball Stars: Mezase Sankanou!! (JP)",SNK,SNK,1989,FALSE
Baseball Stars 2,Pixel,Romstar,1992,FALSE
"Bases Loaded
Moero!! Pro Yakyuu (JP)",Tose,Jaleco,1988,FALSE
"Bases Loaded 3
Moero!! Pro Yakyuu '90: Kandouhen (JP)",Tose,Jaleco,1991,FALSE
"Bases Loaded 4
Moe-Pro! Saikyou Hen (JP)",Tose,Jaleco,1993,FALSE
"Bases Loaded II: Second Season
Moero!! Pro Yakyuu '88 (JP)",Tose,Jaleco,1990,FALSE
Batman Returns,Konami,Konami,1993,FALSE
"Batman: Return of the Joker
Dynamite Batman (JP)",Sunsoft,Sunsoft,1991,FALSE
Batman: The Video Game,Sunsoft,Sunsoft,1990,FALSE
Battle Chess,Beam Software,Data East,1990,FALSE
Battle Tank,Imagineering,Absolute Entertainment,1990,FALSE
Battleship,Mindscape,Mindscape,1993,FALSE
Battletoads,Rare,Tradewest,1991,FALSE
Battletoads/Double Dragon,Rare,"Tradewest (NA)
Nintendo (PAL)",1993,FALSE
Beetlejuice,Rare,LJN,1991,FALSE
Best of the Best: Championship Karate,Movie Software,"Electro Brain (NA)
Loriciel (PAL)",1992,FALSE
Bigfoot,Beam Software,Acclaim Entertainment,1990,FALSE
Bill & Ted's Excellent Video Game Adventure,Rocket Science Productions,LJN,1991,FALSE
Bill Elliott's NASCAR Challenge,Distinctive Software,Konami,1991,FALSE
"Bionic Commando
Hitler no Fukkatsu: Top Secret (JP)",Capcom,Capcom,1988,FALSE
Blades of Steel,Konami,Konami,1988,FALSE
"Blaster Master
Chou-Wakusei Senki MetaFight (JP)",Sunsoft,Sunsoft,1988,FALSE
Bo Jackson Baseball,Beam Software,Data East,1991,FALSE
Bomberman,Hudson Soft,Hudson Soft,1989,FALSE
"Bomberman II
Dynablaster (PAL)",Hudson Soft,Hudson Soft,1993,FALSE
"Bonk's Adventure
FC Genjin (JP)",AI,Hudson Soft,1994,FALSE
Boulder Dash,"Data East
Sakata SAS","Data East (JP)
JVC Musical Industries (NA)
Nintendo (PAL)",1990,FALSE
Bram Stoker's Dracula,Probe Software,Sony Imagesoft,1993,FALSE
Break Time: The National Pool Tour,Opera House,FCI,1993,FALSE
BreakThru,Data East,Data East,1987,FALSE
Bubble Bobble,Taito,Taito,1988,FALSE
"Bubble Bobble Part 2
Bubble Bobble 2 (JP)","OLM
I.T.L",Taito,1993,FALSE
Bucky O'Hare,Konami,"Konami (JP/NA)
Palcom Software (PAL)",1992,FALSE
Bump 'n' Jump,"Data East
Sakata SAS","Data East (JP)
Vic Tokai (NA)",1988,FALSE
Burai Fighter,KID,"Taito (JP)
Taxan (NA)
Nintendo (PAL)",1990,FALSE
BurgerTime,"Data East
Sakata SAS","Namco (JP)
Data East (NA)",1987,FALSE
Cabal,Zippo Games,Milton Bradley Company,1990,FALSE
Caesars Palace,Realtime Associates,Virgin Games,1992,FALSE
California Games,Rare,Milton Bradley Company,1989,FALSE
"Capcom's Gold Medal Challenge '92
Capcom Barcelona '92 (JP)",Capcom,Capcom,1992,FALSE
Captain America and The Avengers,Data East,Data East,1991,FALSE
Captain Planet and the Planeteers,Chris Gray Enterprises,Mindscape,1991,FALSE
Captain Skyhawk,Rare,"Milton Bradley Company (NA)
Nintendo (PAL)",1990,FALSE
"Casino Kid
$1,000,000 Kid: Maboroshi no Teiou Hen (JP)",SOFEL,SOFEL,1989,FALSE
Casino Kid 2,SOFEL,SOFEL,1993,FALSE
"Castelian
Kyorochan Land (JP)",Bits Studios,"Hiro (JP)
Triffix (NA)
Storm (PAL)",1991,FALSE
"Castle of Dragon
Dragon Unit (JP)",Athena,SETA,1990,FALSE
"Castlequest
Castle Excellent (JP)",ASCII,"ASCII (JP)
Nexoft (NA)",1989,FALSE
"Castlevania
Akumajō Dracula (JP)",Konami,Konami,1987,FALSE
Castlevania II: Simon's Quest,Konami,Konami,1988,FALSE
"Castlevania III: Dracula's Curse
Akumajō Densetsu (JP)",Konami,Konami,1990,FALSE
Caveman Games,Painting by Numbers,Data East,1990,FALSE
Championship Bowling,Athena,"Athena (JP)
Romstar (NA)",1989,FALSE
Championship Pool,Bitmasters,Mindscape,1993,FALSE
"Chip 'n Dale: Rescue Rangers
Chip to Dale no Daisakusen (JP)",Capcom,Capcom,1990,FALSE
"Chip 'n Dale: Rescue Rangers 2
Chip to Dale no Daisakusen 2 (JP)",Capcom,Capcom,1994,FALSE
"Chubby Cherub
Obake no Q Tarou: Wan Wan Panic (JP)",Tose,Bandai,1986,FALSE
"Circus Caper
Moeru! Oniisan (JP)",Advance Communication Company,Toho,1990,FALSE
City Connection,,Jaleco,1988,FALSE
"Clash at Demonhead
Dengeki Big Bang! (JP)",Vic Tokai,Vic Tokai,1990,FALSE
Classic Concentration,Softie,GameTek,1990,FALSE
Cliffhanger,Spidersoft,Sony Imagesoft,1993,FALSE
Clu Clu Land,Nintendo R&D1,Nintendo,1985,FALSE
Cobra Command,Data East,Data East,1988,FALSE
Cobra Triangle,Rare,Nintendo,1989,FALSE
