title,developer,publisher,year,hidden
Agile Warrior F-111X,Black Ops Entertainment,Virgin Interactive,1995,TRUE
Air Combat,"Namco, Arsys Software","Namco, SCEEPAL",1995,TRUE
Bases Loaded '96: Double Header,Jaleco Entertainment,Jaleco Entertainment,1995,TRUE
Battle Arena Toshinden,Tamsoft,SCEA,1995,TRUE
Criticom,Kronos Digital Entertainment,Vic Tokai,1995,TRUE
Cyber Sled,Namco,SCEE,1995,TRUE
Cyberspeed,Mindscape,Mindscape,1995,TRUE
Defcon 5,Millennium Interactive,"Data EastNA, PsygnosisPAL, MultisoftJP",1995,TRUE
Destruction Derby,Reflections Interactive,Psygnosis,1995,TRUE
Discworld,Perfect Entertainment,Psygnosis,1995,TRUE
Doom,Williams Entertainment,"Williams EntertainmentNA, GT Interactive/InfogramesEU",1995,TRUE
ESPN Extreme Games,Sony Interactive Studios America,"SCEANA, SCEEPAL, SCEIJP",1995,TRUE
FIFA 96,EA Canada,Electronic Arts,1995,TRUE
Geom Cube,Technos Japan,"JP Technos Japan, NA Technos",1995,FALSE
Gex,Crystal Dynamics,Crystal Dynamics,1995,TRUE
Goal Storm,Konami,Konami,1995,TRUE
Hi-Octane,Bullfrog Productions,"Electronic Arts, Electronic Arts Victor",1995,TRUE
Jumping Flash!,Exact,Sony Computer Entertainment,1995,TRUE
Jupiter Strike,Taito,"PALNA Acclaim, JP Taito",1995,TRUE
Kileak: The DNA Imperative,Genki,SCEA,1995,TRUE
Lemmings 3D,Clockwork Games,"Psygnosis, SCE AustraliaAU, SCEIJP",1995,TRUE
Loaded,Gremlin Interactive,"InterplayNA, Gremlin InteractivePAL, Electronic Arts VictorJP",1995,TRUE
Mortal Kombat 3,Williams,SCEA,1995,TRUE
NBA In The Zone,Konami,Konami,1995,TRUE
NBA Jam Tournament Edition,Iguana UK,Acclaim,1995,TRUE
NFL GameDay,Sony Interactive Studios America,SCEA,1995,TRUE
NHL FaceOff,Sony Interactive Studios America,SCEA,1995,TRUE
Novastorm,Psygnosis,Psygnosis,1995,TRUE
Off-World Interceptor Extreme,Crystal Dynamics,Crystal Dynamics,1995,TRUE
PGA Tour 96,Hitmen Productions,"Electronic Arts, Inc.",1995,TRUE
Power Serve 3D Tennis,SPS,"Ocean SoftwarePAL,NA, SPSJP",1995,TRUE
Primal Rage,Probe Entertainment,Time Warner Interactive,1995,TRUE
Rayman,Ubisoft,Ubisoft,1995,TRUE
Ridge Racer,Namco,SCEA,1995,FALSE
Road Rash,Apple Advanced Technology Group,Electronic Arts,1995,TRUE
Shockwave Assault,Apple Advanced Technology Group,Crystal Dynamics,1995,TRUE
Space Griffon VF-9,Panther Software,Atlus,1995,TRUE
Street Fighter: The Movie,Incredible Technologies,Acclaim,1995,TRUE
Tekken,Namco,Namco,1995,TRUE
The Raiden Project,Seibu Kaihatsu,"Seibu Kaihatsu, SCEA",1995,TRUE
Theme Park,"Bullfrog Productions, Ltd.",Electronic Arts,1995,TRUE
Total Eclipse Turbo,Crystal Dynamics,Crystal Dynamics,1995,TRUE
Twisted Metal,SCEA/Single Trac,SCEA,1995,TRUE
Viewpoint,Visual Concepts,Electronic Arts,1995,TRUE
Warhawk,SingleTrac,SCEA,1995,TRUE
Wipeout,Psygnosis,Psygnosis,1995,TRUE
WWF WrestleMania: The Arcade Game,Sculptured Software,Acclaim,1995,TRUE
X-COM: UFO Defense,MicroProse,MicroProse,1995,TRUE
Zero Divide,ZOOM Inc.,"Time Warner InteractiveNA, Ocean SoftwarePAL, ZOOM Inc.JP",1995,TRUE
Zoop,Hookstone,Viacom New Media,1995,TRUE
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
