game,ep,ytid,seconds,screenshot,wiki_line
Twisted Metal,8,-bPL3-_NGKA,89,,
Tekken,6,cHSDU0areEU,76,,
Air Combat (JP: Ace Combat),2,8jXUNGY1IjY,168,Air Combat (USA).png,u_1
Doom,4,3pu9uEYO-L0,9766,,
Rayman,2,8jXUNGY1IjY,9377,,
Ridge Racer,1,JCrKZxZEkJY,410,,
Battle Arena Toshinden,3,LCw6WOil1os,122,,
Agile Warrior F-111X,6,cHSDU0areEU,10765,Agile Warrior - F-111X (USA).png,
X-COM: UFO Defense,7,qahYNwlcFBo,6721,,
PGA Tour 96,7,qahYNwlcFBo,3213,,
CyberSpeed,5,azT5CLNY_Fw,6671,,
WipEout,7,qahYNwlcFBo,82,Wipeout (USA).png,
Jumping Flash!,4,3pu9uEYO-L0,86,,
Goal Storm (JP: Winning Eleven),6,cHSDU0areEU,4128,Goal Storm (USA).png,u_14
Terry Pratchett's Discworld,5,azT5CLNY_Fw,10611,,
Geom Cube,7,qahYNwlcFBo,12601,,
Bases Loaded '96 - Double Header,5,azT5CLNY_Fw,3198,,
Zero Divide,2,8jXUNGY1IjY,3724,,
Theme Park,8,-bPL3-_NGKA,4225,,
Destruction Derby,5,azT5CLNY_Fw,70,,
3D Lemmings,6,cHSDU0areEU,7035,,u_21
DEFCON 5 - Peace has a price,8,-bPL3-_NGKA,7998,Defcon 5 - Peace Has a Price... (USA).png,u_7
Off-World Interceptor Extreme,4,3pu9uEYO-L0,6372,,
FIFA Soccer 96,4,3pu9uEYO-L0,2887,,
Jupiter Strike,8,-bPL3-_NGKA,11767,,
NBA Jam: Tournament Edition,1,JCrKZxZEkJY,9389,,
Kileak: The DNA Imperative,1,JCrKZxZEkJY,6205,,
The Raiden Project,3,LCw6WOil1os,3382,"Raiden Project, The (USA).png",
Novastorm,4,3pu9uEYO-L0,11796,,
Total Eclipse Turbo,3,LCw6WOil1os,5850,,
Street Fighter: The Movie,1,JCrKZxZEkJY,3685,,
ESPN Extreme Games,3,LCw6WOil1os,7872,,
Power Serve 3D Tennis,2,8jXUNGY1IjY,7224,,
